co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.5,pmx_co,False,1000,0.7,tournament,2011,100
0.5,pmx_co,False,1000,0.7,rank,2464,100
0.5,pmx_co,False,1000,0.9,tournament,2499,100
0.5,pmx_co,False,1000,0.9,rank,2753,100
0.7,cycle_co,True,100,0.1,tournament,1803,100
0.7,cycle_co,True,100,0.1,rank,1603,100
0.7,cycle_co,True,100,0.3,tournament,1344,100
0.7,cycle_co,True,100,0.3,rank,1252,100
0.7,cycle_co,True,100,0.5,tournament,1189,100
0.7,cycle_co,True,100,0.5,rank,1169,100
0.7,cycle_co,True,100,0.7,tournament,1169,100
0.7,cycle_co,True,100,0.7,rank,1169,100
0.7,cycle_co,True,100,0.9,tournament,1169,100
0.7,cycle_co,True,100,0.9,rank,1169,100
0.7,cycle_co,True,400,0.1,tournament,1169,100
0.7,cycle_co,True,400,0.1,rank,1055,100
0.7,cycle_co,True,400,0.3,tournament,1007,100
0.7,cycle_co,True,400,0.3,rank,1002,100
0.7,cycle_co,True,400,0.5,tournament,985,100
0.7,cycle_co,True,400,0.5,rank,983,100
0.7,cycle_co,True,400,0.7,tournament,982,100
0.7,cycle_co,True,400,0.7,rank,982,100
0.7,cycle_co,True,400,0.9,tournament,982,100
0.7,cycle_co,True,400,0.9,rank,982,100
0.7,cycle_co,True,700,0.1,tournament,982,100
0.7,cycle_co,True,700,0.1,rank,982,100
0.7,cycle_co,True,700,0.3,tournament,982,100
0.7,cycle_co,True,700,0.3,rank,982,100
0.7,cycle_co,True,700,0.5,tournament,982,100
0.7,cycle_co,True,700,0.5,rank,982,100
0.7,cycle_co,True,700,0.7,tournament,982,100
0.7,cycle_co,True,700,0.7,rank,982,100
0.7,cycle_co,True,700,0.9,tournament,982,100
0.7,cycle_co,True,700,0.9,rank,982,100
0.7,cycle_co,True,1000,0.1,tournament,982,100
0.7,cycle_co,True,1000,0.1,rank,971,100
0.7,cycle_co,True,1000,0.3,tournament,967,100
0.7,cycle_co,True,1000,0.3,rank,967,100
0.7,cycle_co,True,1000,0.5,tournament,967,100
0.7,cycle_co,True,1000,0.5,rank,967,100
0.7,cycle_co,True,1000,0.7,tournament,967,100
0.7,cycle_co,True,1000,0.7,rank,967,100
0.7,cycle_co,True,1000,0.9,tournament,967,100
0.7,cycle_co,True,1000,0.9,rank,967,100
